"ID","Address","City","State","ZipCode"
1,"750 Calle Espejo","Santa Fe","NM","87505"
2,"620 Garcia St","Santa Fe","NM","87505"
3,"390 E San Mateo Rd","Santa Fe","NM","87505"
4,"726 Camino Del Monte Sol","Santa Fe","NM","87505"
5,"325 Brownell Howland Rd","Santa Fe","NM","87501"
6,"1800 Camino Corrales","Santa Fe","NM","87505"
7,"13 Sundance Dr","Santa Fe","NM","87506"
8,"707 Don Gaspar Ave","Santa Fe","NM","87505"
9,"321 E Berger St","Santa Fe","NM","87505"
10,"7 Arroyo Vis","Santa Fe","NM","87505"
11,"17 Vista Chicoma Rd, #C","Santa Fe","NM","87506"
12,"1830 Sun Mountain Dr","Santa Fe","NM","87505"
13,"1170 1/2 Camino San Acacio","Santa Fe","NM","87505"
14,"16 Avanyu Po","Santa Fe","NM","87506"
15,"408 Hillside Ave","Santa Fe","NM","87501"
16,"2219 Old Arroyo Chamiso","Santa Fe","NM","87505"
17,"19 Paseo De Aguila","Santa Fe","NM","87506"
18,"312 Calle Sierpe","Santa Fe","NM","87501"
19,"838 Camino De Jemez","Santa Fe","NM","87501"
20,"1217 Bishops Lodge Rd","Santa Fe","NM","87501"
21,"215 Tano Rd","Santa Fe","NM","87506"
22,"208 Camino Encantado","Santa Fe","NM","87501"
23,"20 Arroyo Calabasas Rd","Santa Fe","NM","87506"
24,"531 E Palace Ave","Santa Fe","NM","87501"
25,"92 County Road 84, #B","Santa Fe","NM","87506"
26,"116 Camino Encantado, #A","Santa Fe","NM","87501"
27,"87 Rio En Medio Rd","Santa Fe","NM","87506"
28,"707 E Palace Ave, Apt 35","Santa Fe","NM","87501"
29,"1073 Encantado Dr","Santa Fe","NM","87501"
30,"531 Hillside Ave","Santa Fe","NM","87501"
31,"1045 Sierra Del Norte","Santa Fe","NM","87501"
32,"107 Calle La Pena","Santa Fe","NM","87505"
33,"12 E Sand Sage","Santa Fe","NM","87506"
34,"1049 Camino Real","Santa Fe","NM","87501"
35,"761 Placita Santa Fe","Santa Fe","NM","87505"
36,"58 Vallecito Rd","Santa Fe","NM","87506"
37,"1103 Arroyo Piedra","Santa Fe","NM","87501"
38,"2867 S Spur Rd","Santa Fe","NM","87505"
39,"803 Camino Del Este","Santa Fe","NM","87501"
40,"690 Gonzales Rd, Lot 16","Santa Fe","NM","87501"
41,"2309 Brother Luke Pl","Santa Fe","NM","87505"
42,"50 Wild Turkey Way","Santa Fe","NM","87505"
43,"1864 Cerros Colorados","Santa Fe","NM","87501"
44,"740 Acequia Madre","Santa Fe","NM","87505"
45,"664 Camino Del Monte Sol","Santa Fe","NM","87505"
46,"8 Stonegate Cir","Santa Fe","NM","87506"
47,"158 Lorenzo Rd","Santa Fe","NM","87501"
48,"476 Arroyo Tenorio St","Santa Fe","NM","87505"
49,"635 Armenta St","Santa Fe","NM","87505"
50,"8 Deer Cir","Santa Fe","NM","87506"
51,"909 Trail Cross Ct","Santa Fe","NM","87505"
52,"62 Grey Wolf","Santa Fe","NM","87506"
53,"1116 Paseo Barranca","Santa Fe","NM","87501"
54,"2 Camino Pequeno","Santa Fe","NM","87501"
55,"30 Piedras Negras","Santa Fe","NM","87505"
56,"6 Chippewa Cir","Santa Fe","NM","87506"
57,"25 Stonegate Cir","Santa Fe","NM","87506"
58,"14 Meredith Dr","Santa Fe","NM","87506"
59,"53 Bluestem Dr","Santa Fe","NM","87506"
60,"1258 Cabana Ct","Santa Fe","NM","87501"
61,"528 Los Nidos Dr","Santa Fe","NM","87501"
62,"1291 Lejano Ln","Santa Fe","NM","87501"
63,"514 Camino Pinones","Santa Fe","NM","87505"
64,"634 Garcia St, Apt 3","Santa Fe","NM","87505"
65,"8 Lightning Ridge Rd","Santa Fe","NM","87505"
66,"2 Bronze Sky","Santa Fe","NM","87506"
67,"22 Rising Moon","Santa Fe","NM","87506"
68,"2024 Senda De Andres","Santa Fe","NM","87501"
69,"1301 Canyon Rd, #1","Santa Fe","NM","87501"
70,"811 Vista Canada Ln","Santa Fe","NM","87501"
71,"1405 Seville Rd","Santa Fe","NM","87505"
72,"65 Paseo Encantado NE","Santa Fe","NM","87506"
73,"3716 Old Santa Fe Trl","Santa Fe","NM","87505"
74,"14 Buckskin Cir","Santa Fe","NM","87506"
75,"1780 Fort Union Dr","Santa Fe","NM","87505"
76,"18 Camino Calabasas","Santa Fe","NM","87506"
77,"788 Calle Altamira","Santa Fe","NM","87501"
78,"120 La Barbaria Rd","Santa Fe","NM","87505"
79,"120 Circle Dr","Santa Fe","NM","87501"
80,"822 Camino Del Este","Santa Fe","NM","87501"
81,"28 Calimo Cir","Santa Fe","NM","87505"
82,"344 Garcia St","Santa Fe","NM","87501"
83,"160 Pedregal Pl","Santa Fe","NM","87501"
84,"19 Buffalo Cyn","Santa Fe","NM","87505"
85,"256 Tano Rd, #C","Santa Fe","NM","87506"
86,"91 Calle Ventoso W","Santa Fe","NM","87506"
87,"700 E Palace Ave","Santa Fe","NM","87501"
88,"15 Vuelta Rosal","Santa Fe","NM","87506"
89,"8 Avenida De Sevilla","Santa Fe","NM","87506"
90,"56 Amberwood Loop","Santa Fe","NM","87506"
91,"5 Camino Monte Feliz","Santa Fe","NM","87505"
92,"1603 Don Gaspar Ave","Santa Fe","NM","87505"
93,"1677 Cerro Gordo Rd, Unit 17","Santa Fe","NM","87501"
94,"20 Coppermallow Rd","Santa Fe","NM","87506"
95,"3 Paseo De Aguila","Santa Fe","NM","87506"
96,"1360 Vista Morada","Santa Fe","NM","87506"
97,"624 Calle De Valdez","Santa Fe","NM","87505"
98,"1860 Cerros Colorados","Santa Fe","NM","87501"
99,"2113 Paseo Del Monte","Santa Fe","NM","87501"
100,"1412 Hyde Park Rd, #D","Santa Fe","NM","87501"
101,"43 Vuelta Horcado","Santa Fe","NM","87506"
102,"1564 Canyon Rd","Santa Fe","NM","87501"
103,"6 Starfire Ln","Santa Fe","NM","87505"
104,"1048 Sierra Del Norte","Santa Fe","NM","87501"
105,"653 Canyon Rd, Apt 10","Santa Fe","NM","87501"
106,"1089 Mansion Ridge Rd","Santa Fe","NM","87501"
107,"653 Canyon Rd, Apt 15","Santa Fe","NM","87501"
108,"1107 Calle Catalina","Santa Fe","NM","87501"
109,"21 Montoya Cir","Santa Fe","NM","87501"
110,"436 Sunset St","Santa Fe","NM","87501"
111,"2601 Camino Carlitos","Santa Fe","NM","87505"
112,"1220 Cerro Gordo Rd","Santa Fe","NM","87501"
113,"552 Garcia St, Apt 1","Santa Fe","NM","87505"
114,"332 Tano Rd","Santa Fe","NM","87506"
115,"796 Aspen Compound","Santa Fe","NM","87501"
116,"11 Arroyo Pequeno","Santa Fe","NM","87506"
117,"34 Wildhorse","Santa Fe","NM","87506"
