"ID","address","City","State","ZipCode"
2,"100 Dove Meadow Ln","Glen Rose","TX","76043"
3,"1001 Maverick Ct","Glen Rose","TX","76043"
4,"1009 County Road 325","Glen Rose","TX","76043"
5,"1009 Maverick Ct","Glen Rose","TX","76043"
6,"101 Dove Meadow Ln","Glen Rose","TX","76043"
7,"1011 County Road 302","Glen Rose","TX","76043"
8,"1016 County Road 428","Glen Rose","TX","76043"
9,"102 Ridge Ct","Glen Rose","TX","76043"
10,"1027 County Road 2028","Glen Rose","TX","76043"
11,"1032 County Road 2026","Glen Rose","TX","76043"
12,"1035 Ronald Rd","Glen Rose","TX","76043"
13,"1044 White Tail Run","Glen Rose","TX","76043"
14,"1045 Cardinal Ln","Glen Rose","TX","76043"
15,"1045 County Road 2017","Glen Rose","TX","76043"
16,"1048 County Road 1017","Glen Rose","TX","76043"
17,"1048 Rolling Hills Trl","Glen Rose","TX","76043"
18,"105 Heritage Pl","Glen Rose","TX","76043"
19,"1051 County Road 331","Glen Rose","TX","76043"
20,"1052 County Road 427","Glen Rose","TX","76043"
21,"106 Waterfall St","Glen Rose","TX","76043"
22,"1060 County Road 412","Glen Rose","TX","76043"
23,"1062 County Road 2028","Glen Rose","TX","76043"
24,"1062 County Road 412d","Glen Rose","TX","76043"
25,"1070 County Road 2026","Glen Rose","TX","76043"
26,"1070 County Road 318","Glen Rose","TX","76043"
27,"1084 County Road 331","Glen Rose","TX","76043"
28,"1085 County Road 414","Glen Rose","TX","76043"
29,"1089 Lonesome Dove Trce","Glen Rose","TX","76043"
30,"1092 County Road 2004","Glen Rose","TX","76043"
31,"1097 Green Meadows Dr","Glen Rose","TX","76043"
32,"1099 Ronald Rd","Glen Rose","TX","76043"
33,"1099 Shady Oaks Cir","Glen Rose","TX","76043"
34,"110 Paluxy St","Glen Rose","TX","76043"
35,"1100 County Road 2026","Glen Rose","TX","76043"
36,"1102 Maverick Ct","Glen Rose","TX","76043"
37,"1111 Summers Dr","Glen Rose","TX","76043"
38,"1113 Rolling Hills Trl","Glen Rose","TX","76043"
39,"1119 Ronald Rd","Glen Rose","TX","76043"
40,"1125 County Road 2021","Glen Rose","TX","76043"
41,"1131 White Tail Run","Glen Rose","TX","76043"
42,"1136 Hummingbird Ln","Glen Rose","TX","76043"
43,"1138 Waters Edge Ln","Glen Rose","TX","76043"
44,"1140 County Road 2026","Glen Rose","TX","76043"
45,"1160 Rock Creek Dr","Glen Rose","TX","76043"
46,"1164 County Road 2007","Glen Rose","TX","76043"
47,"1164 Rolling Hills Trl","Glen Rose","TX","76043"
48,"1169 Rivercrest Dr","Glen Rose","TX","76043"
49,"1170 County Road 1011","Glen Rose","TX","76043"
50,"1174 County Road 414","Glen Rose","TX","76043"
51,"1177 Rolling Hills Trl","Glen Rose","TX","76043"
