ID,Address,City,State,Zipcode
1,28 Calypso,Irvine,CA,92618
2,"30 Acorn, #16",Irvine,CA,92604
3,2261 Watermarke Pl,Irvine,CA,92612
4,"16 Wintergreen, #6",Irvine,CA,92604
5,2 Ardmore,Irvine,CA,92602
6,"8 Glenhurst, #38",Irvine,CA,92604
7,70 Hedge Bloom,Irvine,CA,92618
8,11 Iceberg Rose,Irvine,CA,92620
10,"98 Stanford Ct, #49",Irvine,CA,92612
11,61 Ardmore,Irvine,CA,92602
12,502 Timberwood,Irvine,CA,92620
13,149 Tubeflower,Irvine,CA,92618
14,105 Fable,Irvine,CA,92618
15,"285 Stanford Ct, #54",Irvine,CA,92612
17,33 Summerwind,Irvine,CA,92614
18,516 Timberwood,Irvine,CA,92620
19,"29 Christamon S, #12",Irvine,CA,92620
20,"11 Wildflower, #30",Irvine,CA,92604
21,"11 Saint Paul, #15",Irvine,CA,92604
22,834 Silk Tree,Irvine,CA,92606
23,14 Cetinale Aisle,Irvine,CA,92606
24,231 Native Spg,Irvine,CA,92618
25,"18 Ashbrook, #83",Irvine,CA,92604
26,2212 Timberwood,Irvine,CA,92620
27,"20 Lincoln, #56",Irvine,CA,92604
28,"2 Park Vis, #55",Irvine,CA,92604
29,"21 Gramercy, Unit 321",Irvine,CA,92612
30,"42 Monroe, #41",Irvine,CA,92620
31,"94 Monroe, #132",Irvine,CA,92620
34,2 Venezia Aisle,Irvine,CA,92606
35,28 Serenity,Irvine,CA,92618
36,"400 Fallingstar, #37",Irvine,CA,92614
37,2436 Scholarship,Irvine,CA,92612
38,"110 Greenmoor, #55",Irvine,CA,92614
39,"7 Lake Rd, #12",Irvine,CA,92614
40,"36 Ashbrook, #74",Irvine,CA,92604
41,8053 Scholarship,Irvine,CA,92612
42,"7 Cattail, #4",Irvine,CA,92604
43,93 Hallmark,Irvine,CA,92620
44,469 E Yale Loop,Irvine,CA,92614
45,"47 Goldenrod, #35",Irvine,CA,92614
46,"6 Christamon S, #36",Irvine,CA,92620
48,"440 Monroe, #99",Irvine,CA,92620
49,2207 Crescent Oak,Irvine,CA,92618
50,126 Renewal,Irvine,CA,92618
52,207 Native Spg,Irvine,CA,92618
53,"58 Ashbrook, #69",Irvine,CA,92604
54,116 Coastal Gdn,Irvine,CA,92618
56,"2 Christamon S, #38",Irvine,CA,92620
58,"11 Starflower, #6",Irvine,CA,92604
59,"14 Helena, #75",Irvine,CA,92604
60,1502 Timberwood,Irvine,CA,92620
61,"43 Winterhaven, #4",Irvine,CA,92614
62,3404 Ladrillo Aisle,Irvine,CA,92606
63,22 Hedge Bloom,Irvine,CA,92618
64,"75 Sandpiper, #8",Irvine,CA,92604
65,216 Timberwood,Irvine,CA,92620
66,"2702 Ladrillo Aisle, #45",Irvine,CA,92606
67,49 Bradford,Irvine,CA,92602
68,155 Rose Arch,Irvine,CA,92620
69,2228 Nolita,Irvine,CA,92612
71,316 Trailblaze,Irvine,CA,92618
72,1310 Timberwood,Irvine,CA,92620
73,76 Renewal,Irvine,CA,92618
74,105 Hallmark,Irvine,CA,92620
75,3206 Ladrillo Aisle,Irvine,CA,92606
76,"3131 Michelson Dr, Unit 502",Irvine,CA,92612
77,3 Costa Brava,Irvine,CA,92620
78,"21 Greenbough, #124",Irvine,CA,92614
79,"9 Snowberry, #14",Irvine,CA,92604
80,805 Terra Bella,Irvine,CA,92602
82,1406 Timberwood,Irvine,CA,92620
83,130 Rose Arch,Irvine,CA,92620
84,101 Hallmark,Irvine,CA,92620
85,87 Costa Brava,Irvine,CA,92620
86,46 Ardmore,Irvine,CA,92602
87,"381 Stanford Ct, #6",Irvine,CA,92612
88,"405 Rock, #A707",Irvine,CA,92612
90,"40 Brookmont, #73",Irvine,CA,92604
91,"12 Starflower, #13",Irvine,CA,92604
92,228 Rose Arch,Irvine,CA,92620
93,"3131 Michelson Dr, Unit 407",Irvine,CA,92612
95,1 Ardmore,Irvine,CA,92602
96,"16 Chandon, #49",Irvine,CA,92602
97,"27 Olde Berry, #54",Irvine,CA,92602
99,202 Timberwood,Irvine,CA,92620
100,38 Cactus Bloom,Irvine,CA,92618
101,"3141 Michelson Dr, Unit 501",Irvine,CA,92612
102,"84 Christamon S, #68",Irvine,CA,92620
104,1912 Timberwood,Irvine,CA,92620
105,"103 Weepingwood, #45",Irvine,CA,92614
106,218 Timberwood,Irvine,CA,92620
107,"17 Cameron, #70",Irvine,CA,92602
108,"19 Chandon, #44",Irvine,CA,92602
109,"31 Claret, #64",Irvine,CA,92614
110,83 Plateau,Irvine,CA,92618
111,"62 Sandpiper, #29",Irvine,CA,92604
112,42 Hedge Bloom,Irvine,CA,92618
113,604 Silk Tree,Irvine,CA,92606
114,"8 Capstone, #29",Irvine,CA,92606
115,"28 Helena, #68",Irvine,CA,92604
116,103 Coastal Gdn,Irvine,CA,92618
117,1001 Elmhurst,Irvine,CA,92618
118,2 Crivelli Aisle,Irvine,CA,92606
119,1110 Timberwood,Irvine,CA,92620
120,94 Talisman,Irvine,CA,92620
121,"6 Ashbrook, #91",Irvine,CA,92604
122,133 Rose Arch,Irvine,CA,92620
125,709 Silk Tree,Irvine,CA,92606
126,"26 Summerfield, #14",Irvine,CA,92614
127,1402 Timberwood,Irvine,CA,92620
129,806 Timberwood,Irvine,CA,92620
130,133 Fable,Irvine,CA,92618
131,"178 Alicante Aisle, #199",Irvine,CA,92614
132,"25 Sunflower, #16",Irvine,CA,92604
133,26 Imperial Aisle,Irvine,CA,92606
134,"54 Amberleaf, #92",Irvine,CA,92614
135,402 Timberwood,Irvine,CA,92620
136,744 Spring Gdn,Irvine,CA,92618
137,78 Renewal,Irvine,CA,92618
138,141 Fable,Irvine,CA,92618
139,"24 Amberleaf, #77",Irvine,CA,92614
140,194 Capricorn,Irvine,CA,92618
141,1901 Crescent Oak,Irvine,CA,92618
142,"44 Idyllwild, #56",Irvine,CA,92602
143,"61 Claret, #2",Irvine,CA,92614
145,"135 Oxford, #43",Irvine,CA,92612
146,"159 Rockwood, #49",Irvine,CA,92614
147,26 Full Moon,Irvine,CA,92618
149,501 Larkridge,Irvine,CA,92618
150,"13 Viejo, #85",Irvine,CA,92612
151,"224 Greenmoor, #96",Irvine,CA,92614
154,"12 Silverwood, #19",Irvine,CA,92604
155,727 Spring Gdn,Irvine,CA,92618
156,"4 Firebird, #80",Irvine,CA,92604
158,"210 Monroe, #115",Irvine,CA,92620
159,"462 Monroe, #93",Irvine,CA,92620
160,"35 Riverstone, #71",Irvine,CA,92606
161,518 Timberwood,Irvine,CA,92620
162,1209 Abelia,Irvine,CA,92606
163,"35 Christamon S, #1",Irvine,CA,92620
164,"21 Gramercy, Unit 421",Irvine,CA,92612
165,107 Bowery,Irvine,CA,92612
166,58 Bijou,Irvine,CA,92618
167,"114 Alicante Aisle, #148",Irvine,CA,92614
168,"2 Taquitz, #48",Irvine,CA,92602
169,1316 Timberwood,Irvine,CA,92620
171,"28 Claret, #39",Irvine,CA,92614
172,"57 Wintermist, #30",Irvine,CA,92614
173,1418 Timberwood,Irvine,CA,92620
174,"221 Stanford Ct, #133",Irvine,CA,92612
175,"434 Deerfield Ave, #167",Irvine,CA,92606
176,1207 Elmhurst,Irvine,CA,92618
177,2294 Synergy,Irvine,CA,92614
178,1603 Terra Bella,Irvine,CA,92602
179,7 Weathersfield,Irvine,CA,92602
180,"1506 Solvay Aisle, #127",Irvine,CA,92606
181,49 Bellevue,Irvine,CA,92602
182,214 Rose Arch,Irvine,CA,92620
183,67 Alevera St,Irvine,CA,92618
184,"1 Lago Sud, #17",Irvine,CA,92612
185,5 Bradford,Irvine,CA,92602
186,"28 Columbia, #18",Irvine,CA,92612
187,129 Costa Brava,Irvine,CA,92620
188,155 Fable,Irvine,CA,92618
189,"16 Oakgrove, #51",Irvine,CA,92604
190,"335 Stanford Ct, #29",Irvine,CA,92612
191,2422 Watermarke Pl,Irvine,CA,92612
