"ID","Address","City","State","Zipcode"
1,"11597 Springwood Ct","Riverside","CA","92505"
2,"9548 Lost Grove Rd","Riverside","CA","92508"
3,"4662 Viaggio Cir","Riverside","CA","92509"
4,"15616 Ridgeway Ave","Riverside","CA","92508"
5,"8587 Mill Pond Pl","Riverside","CA","92508"
6,"8747 Sugar Bush Ct","Riverside","CA","92508"
7,"5710 Intervale Dr","Riverside","CA","92506"
8,"11298 Apple Canyon Ln","Riverside","CA","92503"
9,"17005 Limetree Ln","Riverside","CA","92503"
10,"4931 Firebird Ct","Riverside","CA","92509"
11,"1240 Highridge St","Riverside","CA","92506"
12,"18595 Krameria Ave","Riverside","CA","92508"
13,"17893 Roberts Rd","Riverside","CA","92508"
14,"16640 Valle Vista Way","Riverside","CA","92506"
15,"9507 Lost Grove Rd","Riverside","CA","92508"
16,"17091 Raindrop Ct","Riverside","CA","92503"
17,"1471 Basel Pl","Riverside","CA","92506"
18,"1217 Fetlock Way","Riverside","CA","92506"
19,"6572 Karen Ln","Riverside","CA","92509"
20,"1428 Ransom Rd","Riverside","CA","92506"
21,"1378 Ransom Rd","Riverside","CA","92506"
22,"1060 Tiger Tail Dr","Riverside","CA","92506"
23,"7910 Old Oak Ct","Riverside","CA","92506"
24,"17905 Luna Ct","Riverside","CA","92504"
25,"18064 Bissel Dr","Riverside","CA","92508"
26,"5270 Heatherton Ln","Riverside","CA","92505"
27,"7750 Broadacre Pl","Riverside","CA","92504"
28,"5053 Agate St","Riverside","CA","92509"
29,"8769 Windmill Pl","Riverside","CA","92508"
30,"15942 Ben Spur Ln","Riverside","CA","92504"
31,"15330 Corsica Ave","Riverside","CA","92506"
32,"2180 Huntington St","Riverside","CA","92504"
33,"1997 W Linden St","Riverside","CA","92507"
34,"7907 Old Oak Ct","Riverside","CA","92506"
35,"8779 Windmill Pl","Riverside","CA","92508"
36,"17660 Fan Palm Ln","Riverside","CA","92503"
37,"10096 Dufferin Ave","Riverside","CA","92503"
38,"14062 Quailridge Dr","Riverside","CA","92503"
39,"4738 Rockingham Loop","Riverside","CA","92509"
40,"7866 Silver Hills Dr","Riverside","CA","92506"
41,"2161 Orange View Cir","Riverside","CA","92503"
42,"18097 Hickory Tree Ln","Riverside","CA","92504"
43,"5577 Indian Palms Dr","Riverside","CA","92509"
44,"12297 Caponera Ct","Riverside","CA","92505"
45,"16415 Wagon Wheel Dr","Riverside","CA","92506"
46,"17551 Dry Run Ct","Riverside","CA","92504"
47,"9499 Asuza Ct","Riverside","CA","92508"
48,"2066 Citrus Glen Cir","Riverside","CA","92503"
49,"17129 Hidden Trails Ln","Riverside","CA","92503"
50,"14150 Four Winds Rd","Riverside","CA","92503"
51,"18224 Calabria Dr","Riverside","CA","92508"
52,"16202 Skyridge Dr","Riverside","CA","92503"
53,"17083 Owl Tree Rd","Riverside","CA","92504"
54,"12261 Caponera Ct","Riverside","CA","92505"
55,"11338 Pondhurst Way","Riverside","CA","92505"
56,"19685 Country Rose Dr","Riverside","CA","92508"
57,"9584 Paradise Pl","Riverside","CA","92508"
58,"1960 Gratton St","Riverside","CA","92504"
59,"16504 Rancho Escondido Dr","Riverside","CA","92506"
60,"19647 Lonestar Ln","Riverside","CA","92508"
61,"11539 Brookrun Ct","Riverside","CA","92505"
62,"16383 Ridge Field Dr","Riverside","CA","92503"
63,"11597 Brookrun Ct","Riverside","CA","92505"
64,"9528 Visaya Dr","Riverside","CA","92508"
65,"18120 Calabria Dr","Riverside","CA","92508"
66,"12173 Navel Tree Ct","Riverside","CA","92503"
67,"8718 44th St","Riverside","CA","92509"
68,"3686 Fleming St","Riverside","CA","92509"
69,"7931 Old Oak Ct","Riverside","CA","92506"
70,"12218 Baird Way","Riverside","CA","92505"
71,"19526 Emanuel Dr","Riverside","CA","92508"
72,"1241 Flemington Rd","Riverside","CA","92506"
73,"16321 Mountain Mist St","Riverside","CA","92503"
74,"12504 Poinsetta Dr","Riverside","CA","92503"
75,"17415 Sunset View Dr","Riverside","CA","92504"
76,"16887 Sky Land Ct","Riverside","CA","92503"
77,"9447 Ponte Bella Dr","Riverside","CA","92508"
78,"6846 Roanoak Pl","Riverside","CA","92506"
79,"3310 Paseo De Valle","Riverside","CA","92503"
80,"10160 Woodbridge Ln","Riverside","CA","92509"
81,"4918 Firebird Ct","Riverside","CA","92509"
82,"9414 Rose Garden Pl","Riverside","CA","92508"
83,"11315 Apple Canyon Ln","Riverside","CA","92503"
84,"12415 Heritage Hills Dr","Riverside","CA","92503"
85,"17206 Noble View Cir","Riverside","CA","92503"
86,"8069 Halbrook Ter","Riverside","CA","92509"
87,"16135 Skyridge Dr","Riverside","CA","92503"
88,"4619 Viaggio Cir","Riverside","CA","92509"
89,"7050 Edgewild Dr","Riverside","CA","92506"
90,"5515 Golf St","Riverside","CA","92509"
91,"18696 Krameria Ave","Riverside","CA","92508"
92,"16605 Suttles Dr","Riverside","CA","92504"
93,"9498 Asuza Ct","Riverside","CA","92508"
94,"5076 Windhill Dr","Riverside","CA","92507"
95,"12560 Avocado Way","Riverside","CA","92503"
96,"1358 Ransom Rd","Riverside","CA","92506"
97,"16808 Golden Bluff Loop","Riverside","CA","92503"
98,"8165 Philbin Ave","Riverside","CA","92503"
99,"16391 Ringbit Ct","Riverside","CA","92506"
100,"15510 Silver Spur Rd","Riverside","CA","92504"
101,"3432 Trinity Ct","Riverside","CA","92506"
102,"18559 Krameria Ave","Riverside","CA","92508"
103,"19646 Lonestar Ln","Riverside","CA","92508"
