"ID","Address","City","State","Zipcode"
9,"132 Orchard","Irvine","CA","92618"
16,"18 Perkins Ct","Irvine","CA","92617"
32,"71 Murasaki St","Irvine","CA","92617"
33,"6 Gatewood","Irvine","CA","92604"
47,"2 Gatewood","Irvine","CA","92604"
51,"10 Admiral","Irvine","CA","92604"
55,"27 Frost","Irvine","CA","92617"
57,"14 Eliot Ct","Irvine","CA","92617"
70,"42 Tangerine","Irvine","CA","92618"
81,"6 Brookpine","Irvine","CA","92604"
89,"7 Black Oak","Irvine","CA","92604"
94,"20 Murasaki St","Irvine","CA","92617"
98,"12 Skipper","Irvine","CA","92604"
103,"28 Fuertes","Irvine","CA","92617"
123,"6 Orchard","Irvine","CA","92618"
124,"14 Mcclintock Ct","Irvine","CA","92617"
128,"8 Mayer Ct","Irvine","CA","92617"
144,"34 Orchard","Irvine","CA","92618"
148,"4 Admiral","Irvine","CA","92604"
152,"16 Eliot Ct","Irvine","CA","92617"
153,"46 Sparrowhawk","Irvine","CA","92604"
157,"31 Orchard","Irvine","CA","92618"
170,"30 Tangerine","Irvine","CA","92618"
214,"10 Tiger","Irvine","CA","92604"
216,"12 Wildwheat","Irvine","CA","92614"
221,"4 Monarch","Irvine","CA","92604"
228,"91 Orchard","Irvine","CA","92618"
233,"24 Graham St","Irvine","CA","92617"
238,"83 Orchard","Irvine","CA","92618"
244,"2 Butterfly","Irvine","CA","92604"
265,"18 Orchard","Irvine","CA","92618"
268,"9 Bird Wing","Irvine","CA","92604"
269,"33 Murasaki St","Irvine","CA","92617"
272,"35 Lemon Grv","Irvine","CA","92618"
278,"21 Lemon Grv","Irvine","CA","92618"
310,"38 Urey Ct","Irvine","CA","92617"
316,"2 Laketrail","Irvine","CA","92604"
331,"1 Buckeye","Irvine","CA","92604"
343,"44 Murasaki St","Irvine","CA","92617"
350,"12 Joyce Ct","Irvine","CA","92617"
373,"40 Urey Ct","Irvine","CA","92617"
382,"23 Cervantes Ct","Irvine","CA","92617"
388,"17 Lemon Grv","Irvine","CA","92618"
396,"93 Murasaki St","Irvine","CA","92617"
397,"4 Tortoise Shell","Irvine","CA","92604"
406,"12 Leda","Irvine","CA","92604"
426,"50 Whitman Ct","Irvine","CA","92617"
429,"24 Tangerine","Irvine","CA","92618"
440,"1 Bird Wing","Irvine","CA","92604"
465,"19 Deerwood E","Irvine","CA","92604"
466,"29 Preston","Irvine","CA","92618"
467,"28 Arbusto","Irvine","CA","92606"
